,date.c,UserIDs_in,Leaf,date,timepoint,vcmax,vcmax.se,jmax,jmax.se,vcmax.25,vcmax.se.25,jmax.25,jmax.se.25,treatment,fit.method,leafage,Jkeep,keep,Asat,gs,GS,GSKEEP,waterue,date.a,Co2s_in,Tleaf,Rd,gamstar,Apred,Fert.x,L,Kc,Ko,Km,PredictionA,X,X.1,intercept,CTleaf_out.slope,CTleaf2.slope,Treatment,Leaf.age,Date,rdref,q10,LMA_g.m2,a,b,c,MyTemp,R_calc,Fert.y,vcmax.25mass,jmax.25mass
1,6/21/2020,11p,11p,6/21/2020,T1,58.32968,4.355797,112.00928,7.849074,33.662049,2.5137318,92.763976,6.5004574,p,default,new,Y,Y,5.201167,0.0500207,50.0207,Y,0.103980292,0020-06-21,395.1106,33.61539,2.276404,54.98614,7.960918,pre,0.346662408,37.9362559,20.24790369,431.3900111,141.74,NA,NA,0.031103899,0.055133924,0.000644877,p,new,6/21/2020,6.125743567,2.395945092,225.966851,0.031103899,0.055133924,0.000644877,25,R.mass,pre,148.9689698,410.5202847
2,6/21/2020,11p,11p,6/21/2020,T1,58.32968,4.355797,112.00928,7.849074,33.662049,2.5137318,92.763976,6.5004574,p,default,new,Y,Y,5.201167,0.0500207,50.0207,Y,0.103980292,0020-06-21,395.1106,33.61539,2.276404,54.98614,7.960918,pre,0.346662408,37.9362559,20.24790369,431.3900111,141.74,NA,NA,-1.456263068,0.055133924,0.000644877,p,new,6/21/2020,1.384214984,2.395945092,225.966851,-1.456263068,0.055133924,0.000644877,20,R.area,pre,148.9689698,410.5202847
3,6/21/2020,11p,11p,6/21/2020,T1,58.32968,4.355797,112.00928,7.849074,33.662049,2.5137318,92.763976,6.5004574,p,default,new,Y,Y,5.201167,0.0500207,50.0207,Y,0.103980292,0020-06-21,395.1106,33.61539,2.276404,54.98614,7.960918,pre,0.346662408,37.9362559,20.24790369,431.3900111,141.74,NA,NA,0.031103899,0.055133924,0.000644877,p,new,6/21/2020,6.125743567,2.395945092,225.966851,0.031103899,0.055133924,0.000644877,20,R.mass,pre,148.9689698,410.5202847
4,6/21/2020,11p,11p,6/21/2020,T1,58.32968,4.355797,112.00928,7.849074,33.662049,2.5137318,92.763976,6.5004574,p,default,new,Y,Y,5.201167,0.0500207,50.0207,Y,0.103980292,0020-06-21,395.1106,33.61539,2.276404,54.98614,7.960918,pre,0.346662408,37.9362559,20.24790369,431.3900111,141.74,NA,NA,-1.456263068,0.055133924,0.000644877,p,new,6/21/2020,1.384214984,2.395945092,225.966851,-1.456263068,0.055133924,0.000644877,25,R.area,pre,148.9689698,410.5202847
5,6/21/2020,13c,13c,6/21/2020,T1,66.008852,2.8749599,120.981348,3.8685682,38.093696,1.6591386,100.194473,3.2038748,c,default,new,Y,Y,7.272177,0.08888954,88.88954,Y,0.081811392,0020-06-21,393.9497,33.92649,2.388278,54.98614,9.276945,pre,0.216102176,37.94169385,20.25039434,431.4034495,160.73,NA,NA,-1.552490706,0.125259276,-0.000416925,c,new,6/21/2020,3.737486665,2.840927254,257.629108,-1.552490706,0.125259276,-0.000416925,20,R.mass,pre,147.8625466,388.9097539
6,6/21/2020,13c,13c,6/21/2020,T1,66.008852,2.8749599,120.981348,3.8685682,38.093696,1.6591386,100.194473,3.2038748,c,default,new,Y,Y,7.272177,0.08888954,88.88954,Y,0.081811392,0020-06-21,393.9497,33.92649,2.388278,54.98614,9.276945,pre,0.216102176,37.94169385,20.25039434,431.4034495,160.73,NA,NA,-2.908725,0.125259276,-0.000416925,c,new,6/21/2020,0.962885356,2.840927254,257.629108,-2.908725,0.125259276,-0.000416925,20,R.area,pre,147.8625466,388.9097539
7,6/21/2020,13c,13c,6/21/2020,T1,66.008852,2.8749599,120.981348,3.8685682,38.093696,1.6591386,100.194473,3.2038748,c,default,new,Y,Y,7.272177,0.08888954,88.88954,Y,0.081811392,0020-06-21,393.9497,33.92649,2.388278,54.98614,9.276945,pre,0.216102176,37.94169385,20.25039434,431.4034495,160.73,NA,NA,-1.552490706,0.125259276,-0.000416925,c,new,6/21/2020,3.737486665,2.840927254,257.629108,-1.552490706,0.125259276,-0.000416925,25,R.mass,pre,147.8625466,388.9097539
8,6/21/2020,13c,13c,6/21/2020,T1,66.008852,2.8749599,120.981348,3.8685682,38.093696,1.6591386,100.194473,3.2038748,c,default,new,Y,Y,7.272177,0.08888954,88.88954,Y,0.081811392,0020-06-21,393.9497,33.92649,2.388278,54.98614,9.276945,pre,0.216102176,37.94169385,20.25039434,431.4034495,160.73,NA,NA,-2.908725,0.125259276,-0.000416925,c,new,6/21/2020,0.962885356,2.840927254,257.629108,-2.908725,0.125259276,-0.000416925,25,R.area,pre,147.8625466,388.9097539
9,6/21/2020,14p,14p,6/21/2020,T1,78.343564,2.3493454,139.689475,2.5554414,45.212057,1.3558072,115.688192,2.1163684,p,default,new,Y,Y,9.459508,0.1149773,114.9773,Y,0.082272831,0020-06-21,390.22,33.01298,1.647853,54.98614,12.06456,pre,0.215925985,37.8925606,20.22789065,431.2819586,191.98,NA,NA,-2.635634721,0.151048919,-0.001066828,p,new,6/21/2020,1.606119498,2.656675169,241.071429,-2.635634721,0.151048919,-0.001066828,20,R.area,pre,187.5463102,479.8917586
10,6/21/2020,14p,14p,6/21/2020,T1,78.343564,2.3493454,139.689475,2.5554414,45.212057,1.3558072,115.688192,2.1163684,p,default,new,Y,Y,9.459508,0.1149773,114.9773,Y,0.082272831,0020-06-21,390.22,33.01298,1.647853,54.98614,12.06456,pre,0.215925985,37.8925606,20.22789065,431.2819586,191.98,NA,NA,-1.212972718,0.151048919,-0.001066828,p,new,6/21/2020,6.662421608,2.656675169,241.071429,-1.212972718,0.151048919,-0.001066828,20,R.mass,pre,187.5463102,479.8917586
